"TID","TR"
"TID_RANK_POPUP_QUESTS","GÖREVLER"
"TID_RANK_POPUP_CLUB_FEATURE","KULÜPLER"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","<SEASON>. SEZON"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","ŞU ANKİ SEZONA GERİ DÖN"
"TID_BRAWL_PASS_PREVIOUS_SEASON","ÖNCEKİ SEZON"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","ÖDÜLLERİ ALMAK İÇİN BURAYA DOKUN!"
"TID_BRAWL_PASS_UNLOCK_INFO","ÖZEL ÖDÜLLER KİLİTLİ!"
"TID_BRAWL_PASS_UNLOCK_LABEL","AÇ"
"TID_BRAWLPASS_PURCHASE_ERROR_3","Bu sezon için Brawl Pass zaten alındı."
"TID_BRAWLPASS_PURCHASE_ERROR_4","Bu Brawl Pass artık satın alınamıyor."
"TID_BRAWLPASS_PURCHASE_ERROR_5","BRAWL PASS PAKETİ alınamıyor, tüm ödülleri zaten kazanmışsın!"
"TID_BRAWLPASS_PURCHASE_ERROR_6","Brawl Pass satın alma işlemi zaten devam ediyor."
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","KADEME ATLANSIN MI?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","<NUM> Brawl Pass DP'si satın alıp bir sonraki ödül kademesine ilerlemek istiyor musun?"
"TID_PURCHASE_BRAWL_PASS_TITLE","BRAWL PASS AL!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BRAWL PASS PAKETİ"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Brawl Pass ödüllerini ve ekstra görevleri açarsın."
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> KADEME"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","Geçmiş sezonlar için Brawl Pass alınamaz."
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","Şu anda Brawl Pass sezonu yok. Daha sonra tekrar dene."
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","Bu Brawl Pass sezonu zaten açıldı."
"TID_TAKEDOWNS_LABEL","ALAŞAĞI SAYISI"
"TID_DEFEAT_LABEL","YENİLGİ"
"TID_UNDERDOG","DÜŞÜK KUPA"
"TID_ACCESSORY","AKSESUAR"
"TID_BATTLE_END_COIN_SHOWER","ALTIN YAĞMURU ETKİNLİĞİ"
"TID_BATTLE_END_CC_SHOWER","KROMA YAĞMURU ETKİNLİĞİ"
"TID_LFG_POPUP_TITLE_MEMBER","ÜYE ARA"
"TID_LFG_POPUP_TITLE_TEAM","TAKIM ARA"
"TID_LFG_POPUP_INFO_MEMBER","Birlikte takım kurabileceğin oyuncular bulur."
"TID_LFG_POPUP_INFO_TEAM","Takımına katılacak bir oyuncu bulur."
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Etkinlik kriterleri (değiştirmek için dokun)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Oynamak istiyorum (değiştirmek için dokun)"
"TID_LFG_POPUP_START_SEARCH","BAŞLA!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Bu oyun modunda daha fazla oyuncu desteklenmiyor."
"TID_LFG_NOT_AVAILABLE_FOR_MODE","Şu anki oyun modunda kullanılamaz."
"TID_LOOKING_FOR_A_TEAM","TAKIM ARANIYOR"
"TID_LOOKING_FOR_A_MEMBER","ÜYE ARANIYOR"
"TID_CC_TEASER_TITLE","Yakında!"
"TID_CC_TEASER_INFO","<WIN> zaferlik şampiyonluk mücadelesine hazır ol!\n\nArkadaşlarınla oynayabilir veya şansını artırmak için \qTakım Arıyorum\q özelliğini kullanabilirsin.\n\nBu mücadele yalnızca <DURATION> saat sürecek, fırsatı kaçırma!"
"TID_CC_POPUP_TITLE","ŞAMPİYONLUK MÜCADELESİ"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","Her zafer harika ödüller kazandırıyor! Mücadeleyi tamamlamak için <WINS> zafer kazanman gerekir ama <LOSSES> yenilgide oyun dışı kalırsın!"
"TID_CC_POPUP_1_DESC","Her zafer harika ödüller kazandırıyor! Turnuvayı kazanmak için <WINS> zafer kazanman gerekir, ama <LOSSES> yenilgide oyun dışı kalırsın!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> ZAFER"
"TID_CC_POPUP_WINS_FOR_EVENT","<LEVEL>. AŞAMA"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","ÇEYREK FİNAL"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","YARI FİNAL"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FİNAL"
"TID_CC_POPUP_QUALIFY_INFO","Brawl Stars şampiyonasında bir sonraki aşamaya geçmek için mücadeleyi tamamla!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","PSG Shelly kostümünü kazanmak için mücadeleyi tamamla!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Mücadele tamamlandı!"
"TID_CC_POPUP_CHALLENGE_OVER","MÜCADELE SONA ERDİ"
"TID_CC_POPUP_OUT_OF_LIVES","HAKKIN KALMADI"
"TID_CC_POPUP_BUY_LIVES","<NUM> HAK DAHA ALMAK İSTER MİSİN?"
"TID_CC_POPUP_COMPLETED","MÜCADELE TAMAMLANDI"
"TID_CC_POPUP_LEVEL","<LEVEL>. AŞAMA"
"TID_CC_POPUP_WIN","ZAFER"
"TID_CC_POPUP_LOSSES","YENİLGİ"
"TID_QUALIFIED_TITLE","Çevrimiçi eleme turu AÇILDI!"
"TID_QUALIFIED_INFO","Vay canına, şampiyonluk mücadelesini tamamladın! MÜKEMMEL!\n\nBRAWL STARS ŞAMPİYONASINA devam etmek için: <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_HUB","Tebrikler, Şampiyonluk Mücadelesini başarıyla tamamladın! HARİKA!\n\nBRAWL STARS ŞAMPİYONASINDA yolculuğuna devam etmek için AŞAMALI ekranındaki yeni E-SPOR bölümüne git!"
"TID_QUALIFIED_INFO_PSG","Tebrikler, PSG CUP turnuvasını kazandın! PSG Shelly kostümü açıldı!"
"TID_QUALIFIED_GO","BAŞLA!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","ŞAMPİYONLUK MÜCADELESİ"
"TID_BATTLE_END_CC_WIN_LABEL","<AMOUNT>. ZAFER ÖDÜLÜ"
"TID_BATTLE_END_CC_DEFEAT_0","Mücadele bitti.\nGelecek sefere iyi şanslar!"
"TID_BATTLE_END_CC_DEFEAT_1","Bir kez daha kaybedersen oyun dışı kalırsın. Savaşa devam!"
"TID_BATTLE_END_CC_DEFEAT_2","Bu maçı kaybettin ama oynamaya devam edebilirsin!"
"TID_BATTLE_END_CC_DRAW_DESC","Kazanmak için tekrar oyna!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","AŞAMA ATLADIN!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Tebrikler! Brawl Stars şampiyonasında bir sonraki aşamaya geçmeye hak kazandın.\nDaha fazla bilgi için gelen kutusunu kontrol et."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","POWER PLAY Ligi Ödülleri"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Lig sonu puanına göre\nalınan ödül"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Sıralama"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Puan"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Dünya çapındaki liderlik tablosunda\nüst sıralar için ekstra ödül"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","POWER PLAY LİG SONU ÖDÜLLERİ"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","LİG TABLOSU"
"TID_PRO_LEAGUE_SEASON_END_TIME","LİGİN BİTMESİNE:"
"TID_PRO_LEAGUE_POPUP_TITLE","POWER PLAY"
"TID_EVENT_LABEL_PRO_LEAGUE","POWER PLAY"
"TID_PRO_LEAGUE_POPUP_INFO","POWER PLAY liginde gücünü test etme fırsatı! Lig tablosunda zirveye ulaşmak için her gün üç maç yaparsın. Lig bittiğinde puanına ve dünya lig tablosundaki sırana göre yıldız puanı kazanırsın."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","ŞU ANKİ LİG"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","ÖNCEKİ LİG"
"TID_PRO_LEAGUE_LABEL","POWER PLAY"
"TID_TEAM_ERROR_38","10. seviye bir savaşçı seç!"
"TID_TEAM_ERROR_39","Bugün başka POWER PLAY maçı kalmadı."
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> SAVAŞ KALDI"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","POWER PLAY LİGİ BİTTİ"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Puan"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Sıralama"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Yıldız Puanı Ödülü"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","POWER PLAY ÖDÜLÜ: <AMOUNT> <cff00ff>Yıldız puanı</c> kazandın!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Destansı Zafer (+3 Puan)"
"TID_OVERWHELMING_VICTORY_GMV_0","Maçı 15. elmas çıkmadan kazan."
"TID_OVERWHELMING_VICTORY_GMV_5","Maçı 2-0 kazan."
"TID_OVERWHELMING_VICTORY_GMV_2","Maçı kasanın sağlığı %60'ın altına düşmeden kazan."
"TID_OVERWHELMING_VICTORY_GMV_11","Maçı IKE taretinin sağlığı %80'in altına düşmeden kazan."
"TID_OVERWHELMING_VICTORY_GMV_3","Maçı düşmandan en az 10 yıldız fazla elde ederek kazan."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Maçtaki sıralamana göre puan kazanırsın."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Zaferlerden 30 puan, beraberliklerden 15 puan, yenilgilerden de 5 puan alırsın."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PUAN"
"TID_DOUBLE_TOKEN_WEEKEND","İKİ KAT DP ETKİNLİĞİ"
"TID_COIN_SHOWER_EVENT","ALTIN YAĞMURU"
"TID_CHROMA_CREDITS_SHOWER_EVENT","KROMA YAĞMURU"
"TID_MASTERY_POINTS_BOOST_EVENT","USTALIK ÇILGINLIĞI"
"TID_SKINS_TITLE","KOSTÜMLER"
"TID_SKINS_BUTTON_LABEL","KOSTÜMLER"
"TID_SKIN_PREVIEW","KOSTÜM ÖN İZLEMESİ"
"TID_DEFAULT_SKIN","<HERO> İÇİN VARSAYILAN KOSTÜM"
"TID_HERO_LVL_UP_MATERIAL","Altın"
"TID_TOKENS","Jeton"
"TID_FIRST_WINS","Yıldız Jetonu"
"TID_CLUB_COINS","Kulüp altını"
"TID_BUTTON_INBOX","GELEN KUTUSU"
"TID_INBOX_TITLE","GELEN KUTUSU"
"TID_INBOX_SYSTEM_SENDER","Sistem"
"TID_INBOX_SUPPORT_SENDER","Brawl Stars Destek"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> önce"
"TID_INBOX_CLAIM","AL"
"TID_INBOX_VIEW","GÖRÜNTÜLE"
"TID_INBOX_TAB_0","KULÜP"
"TID_INBOX_TAB_1","KİŞİSEL"
"TID_INBOX_NO_ENTRIES","BOŞ"
"TID_INBOX_CAPTION_101","HEDİYE: BRAWL PASS PLUS YÜKSELTMESİ"
"TID_INBOX_CAPTION_100","HEDİYE: BRAWL PASS PLUS"
"TID_INBOX_CAPTION_99","Kupa Ligi bitti"
"TID_INBOX_CAPTION_94","Şu kostüm hediye edildi: <NAME>"
"TID_INBOX_CAPTION_93","Şu savaşçı hediye edildi: <NAME>"
"TID_INBOX_CAPTION_93_WITH_LEVEL","Şu savaşçı hediye edildi: <NAME> (<LEVEL>. seviye)"
"TID_INBOX_CAPTION_92","<NAME> için <AMOUNT> güç puanı hediye edildi."
"TID_INBOX_CAPTION_91","<AMOUNT> bilet hediye edildi."
"TID_INBOX_CAPTION_90","<AMOUNT> <NAME> hediye edildi."
"TID_INBOX_CAPTION_89","<AMOUNT> elmas hediye edildi."
"TID_INBOX_CAPTION_88","<AMOUNT> DP katlayıcı hediye edildi."
"TID_INBOX_CAPTION_85","<AMOUNT> elmasın iptali"
"TID_INBOX_CAPTION_84_4","<NAME> için <ABI> yıldız gücü hediye edildi."
"TID_INBOX_CAPTION_84_5","<NAME> için <ABI> aksesuarı hediye edildi."
"TID_INBOX_CAPTION_84_6","<NAME> için <ABI> hiperşarj hediyesi"
"TID_INBOX_CAPTION_78","21'den 30'a kadar savaşçı rütbeleri geldi!"
"TID_INBOX_CAPTION_76","Çevrimiçi eleme turu AÇILDI!"
"TID_INBOX_CAPTION_75","<CHALLENGE> zafer ödülü:\n<NAME>"
"TID_INBOX_CAPTION_74","Bilet geri ödemesi"
"TID_INBOX_CAPTION_73","HEDİYE: BRAWL PASS"
"TID_INBOX_CAPTION_72_52","HEDİYE: ROZET"
"TID_INBOX_CAPTION_71","HEDİYE: <SEASON>. BRAWL PASS SEZONU İÇİN <AMOUNT> JETON"
"TID_INBOX_CAPTION_70","<CHALLENGE> zafer ödülü:"
"TID_INBOX_CAPTION_64","Hediye: <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_DONATION","HEDİYE: <TEXT>"
"TID_INBOX_NEW","YENİ!"
"TID_BAND_MAIL_POPUP_TITLE","KULÜP POSTASI"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","mesajını buraya yaz..."
"TID_BAND_MAIL_POPUP_POST","GÖNDER"
"TID_BAND_MAIL_POPUP_NO_MSG","Bir mesaj yazmayı unutma."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Demo hesaplarda bu özellik kullanılamaz."
"TID_REVOKE_TITLE","Destek Bölümünden Mesaj"
"TID_REVOKE_OK","Anladım"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Katılma isteği gönderilemiyor. Zaten bir takımdasın."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Katılma isteği gönderilemiyor. Beklemede olan bir takım davetin var."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Katılma isteği gönderilemiyor. Beklemede olan bir katılma isteğin var."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Katılma isteği iptal edildi"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","TAKIMA KATILMAK İSTİYORUM"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ZAFER</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>YENİLGİ</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>BERABERE</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00><RANK>. SIRA</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000><RANK>. SIRA</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc><RANK>. SIRA</c>"
"TID_BATTLE_LOG_AGE","<TIME> önce"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","SVY"
"TID_BATTLE_LOG_TVST_VERSUS","X"
"TID_BATTLE_LOG_TITLE","SAVAŞ GÜNLÜĞÜ"
"TID_BATTLE_LOG_REPLAY","TEKRAR"
"TID_BATTLE_LOG_MVP","YILDIZ OYUNCU"
"TID_BATTLE_LOG_FRIENDLY","DOSTLUK SAVAŞI"
"TID_BATTLE_LOG_TOURNAMENT","TURNUVA"
"TID_BATTLE_LOG_PVP","SIRALI"
"TID_BATTLE_LOG_PRO_LEAGUE","POWER PLAY"
"TID_BATTLE_LOG_RANKED","AŞAMALI"
"TID_BATTLE_LOG_NO_ENTRIES","GİRİŞ YOK"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Bu bir bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Tekrar özelliği şu anda devre dışı"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Henüz izlenebilecek tekrar yok"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Tekrar yok: yetersiz savaşçı kupası"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Maç tekrarları <NUM> kupaya ulaştığında açılır."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Tekrar yok: kayıt yapılamadı"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Oyun tekrarı artık yok"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Arkadaş eklenemedi"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Arkadaş isteğinin süresi doldu!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Arkadaş eklenemiyor, arkadaşın listesi dolu!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Arkadaş eklenemiyor, arkadaş listen dolu!"
"TID_ADD_FRIEND_FAILED_BANNED","Arkadaş eklenemiyor, oyuncu engellenmiş!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> kaldı"
"TID_KEYPOOL_NEXT_PATCH","<TIME> içinde +<KEYS> jeton"
"TID_TOP_HUD_NEXT_REWARD","Sonraki Ödül"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Alternatif Ödül Onayı"
"TID_RANK_UP_REWARD_REPLACED_POWER","<AMOUNT> güç puanı alabilecek savaşçın yok.\n\nAlternatif ödülü almak ister misin?"
"TID_RANK_UP_REWARD_REPLACED_HERO","<NAME> sende zaten olduğundan alternatif ödülü alacaksın."
"TID_RANK_UP_REWARD_REPLACED_PIN","Bu rozet sende zaten olduğundan alternatif ödülü alacaksın."
"TID_RANK_UP_REWARD_REPLACED_SKIN","<NAME> sende zaten olduğundan alternatif ödülü alacaksın."
"TID_RANK_UP_REWARD_REPLACED_GEN","Bu ödül sende zaten olduğundan alternatif ödülü alacaksın."
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","<AMOUNT> güç puanı alabilecek savaşçın yok ve maksimum güç puanı limitine ulaştın.\n\nAlternatif ödülü almak ister misin?"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ARKADAŞLIK İSTEĞİ GÖNDER"
"TID_PLAYER_INFO_REMOVE_FRIEND","ARKADAŞ LİSTENDEN KALDIR"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ARKADAŞLIK İSTEĞİ GÖNDERİLDİ"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","OYUN İÇİ\nARKADAŞ"
"TID_POWER_POINTS","GÜÇ PUANI"
"TID_HERO_INFO_LEVEL","SEVİYE"
"TID_HERO_INFO_LEVEL_LONG","SEVİYE"
"TID_HERO_INFO_RANK","KADEME"
"TID_HERO_TIER_MAX","MAKS."
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","<LVL>. SEVİYEYE YÜKSELT"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","ONAYLAMAK İÇİN TEKRAR DOKUN"
"TID_HERO_INFO_MAX_LEVEL","MAKSİMUM SEVİYE"
"TID_HERO_INFO_MORE_POWER_NEEDED","Yükseltmek için daha fazla güç puanı toplamalısın!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Savaşçının yeterli güç puanı yok."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Altının yeterli değil!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Savaşçı zaten maksimum seviyede!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","İLK SAVAŞÇI"
"TID_HERO_INFO_STAR_POWER_EQUIP","SEÇ"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","SEÇİLDİ"
"TID_CHOOSE_CHARACTER","SAVAŞÇINI SEÇ"
"TID_ARMOR","SAĞLIK"
"TID_ARMOR_DESC","Savaşçının oyun dışı kalmadan önce alabileceği hasarı temsil eder."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly harika bir bekçi. Güvenilir, güçlü ve av tüfeğinde çok yetenekli. Tüm gözlerin neden Colt'un üzerinde olduğuna bir türlü anlam veremiyor."
"TID_LONG_RANGE_SHOTGUN","AV TÜFEĞİ"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly'nin av tüfeği uzun menzilde geniş bir alana saçma atar. Ne kadar çok saçma isabet ederse o kadar fazla hasar verir."
"TID_MEGA_BLASH_ULTI","SÜPER FİŞEK"
"TID_MEGA_BLASH_ULTI_DESC","Shelly'nin süper fişeği hem siperleri hem düşmanları mahveder. Hayatta kalan düşmanları da geri püskürtür."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt, Starr Park'ın gözdesi. Yakışıklılığı, karizması ve tabanca kullanma hünerleriyle herkesi etkilemeyi başarıyor. Shelly hariç."
"TID_RAPID_FIRE","ALTIPATLAR"
"TID_RAPID_FIRE_DESC","Colt, tabancalarıyla altı seri ve uzun mesafeli atış yapar."
"TID_RAPID_FIRE_ULTI","MERMİ FIRTINASI"
"TID_RAPID_FIRE_ULTI_DESC","Colt, özel mermileriyle daha uzun menzilli, yoluna çıkan siperleri de yok eden bir dizi atış yapar."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull, artık gençliğindeki kadar gamsız değil. Ama serserilik günlerinin geride kalmış olması kaşınanlara dersini vermeyeceği anlamına gelmiyor."
"TID_SHOTGUN_BLAST","ÇİFTE"
"TID_SHOTGUN_BLAST_DESC","Bull'un çift namlulu av tüfeği ağır hasar verir ama kısa menzillidir. Zaten Bull da düşmanların yakınına girmekten çekinmez."
"TID_CHARGE","BULDOZER"
"TID_CHARGE_DESC","Bull enerjisini toplayıp koşmaya başlar, engelleri yıkıp geçer, yolundaki düşmanlara hasar verir ve durduğunda yakındaki düşmanları sersemletir. Hep kafasının dikine giden biri olmuştur!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock, sürekli video oyunu oynaması ve böbürlenmesiyle biliniyor. Tavırları, içine kapanık kişiliğini gizlese de kazanmak için elinden geleni ardına koymaz!"
"TID_FIREWORKS_WEAPON","TEK ROKET"
"TID_FIREWORKS_WEAPON_DESC","Brock, uzun menzilli tek bir roket atar."
"TID_FIREWORKS_ULTI","ROKET YAĞMURU"
