TID,KR
TID_LFG_POPUP_START_SEARCH,찾기!
TID_LFG_NO_ROOM_FOR_PLAYERS,더 이상의 플레이어를 수용할 수 없는 게임 모드입니다.
TID_LOOKING_FOR_A_TEAM,팀 찾는 중
TID_LOOKING_FOR_A_MEMBER,멤버 찾는 중
TID_CC_TEASER_TITLE,곧 공개!
TID_CC_TEASER_INFO,"<WIN>승 챔피언십 챌린지를 준비하세요!\n\n친구와 함께 플레이하거나 \q팀 찾기\q 기능을 사용해 승리 확률을 올리세요.\n\n챌린지는 <DURATION>시간 동안만 진행되니, 모든 전투에서 최선을 다하세요!"
TID_CC_POPUP_TITLE,챔피언십 챌린지
TID_CC_POPUP_1_TITLE,PSG 컵
TID_CC_POPUP_TITLE_PSG_21,PSG 컵 2021
TID_CC_POPUP_DESC,"승리할 때마다 멋진 보상을 획득하세요! <WINS>번 승리해야 챌린지를 완료할 수 있으며, <LOSSES>번 패배하면 탈락입니다!"
TID_CC_POPUP_1_DESC,"승리할 때마다 멋진 보상을 획득하세요! <WINS>번 승리해야 우승할 수 있으며, <LOSSES>번 패배하면 탈락입니다!"
TID_CC_POPUP_WINS,승리: <WINS>/<MAX>
TID_CC_POPUP_WINS_FOR_EVENT,스테이지 <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,8강
TID_POPUP_WINS_FOR_EVENT_PSG_2,준결승
TID_POPUP_WINS_FOR_EVENT_PSG_3,결승
TID_CC_POPUP_QUALIFY_INFO,챌린지를 완료하고 브롤스타즈 챔피언십의 다음 스테이지 진출 자격을 획득하세요!
TID_CC_POPUP_QUALIFY_INFO_PSG,우승으로 PSG 쉘리 스킨을 획득하세요!
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,챌린지 완료!
TID_CC_POPUP_CHALLENGE_OVER,챌린지 종료
TID_CC_POPUP_OUT_OF_LIVES,챌린지 시도 기회 제한 도달
TID_CC_POPUP_BUY_LIVES,<NUM>회 더 구매할까요?
TID_CC_POPUP_COMPLETED,챌린지 완료
TID_CC_POPUP_LEVEL,스테이지 <LEVEL>
TID_CC_POPUP_WIN,승리
TID_CC_POPUP_LOSSES,패배
TID_QUALIFIED_TITLE,온라인 예선전 잠금 해제!
TID_QUALIFIED_INFO,챔피언십 챌린지를 완료하셨습니다!\n\n<cFFE400><URL></c>에서 브롤스타즈 챔피언을 향한 여정을 계속하세요.
TID_QUALIFIED_INFO_HUB,챔피언십 챌린지를 완료했습니다!\n\n홈 화면에 새롭게 추가된 e스포츠 탭에서 브롤스타즈 챔피언십의 여정을 계속하세요!
TID_QUALIFIED_INFO_PSG,PSG 컵 우승을 축하합니다! PSG 쉘리 스킨을 획득했습니다!
TID_QUALIFIED_GO,이동!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,챔피언십 챌린지
TID_BATTLE_END_CC_WIN_LABEL,<AMOUNT>승 보상
TID_BATTLE_END_CC_DEFEAT_0,챌린지 종료\n다음엔 더 잘할 수 있겠죠!
TID_BATTLE_END_CC_DEFEAT_1,한 번 더 패배하면 탈락입니다.\n힘내세요!
TID_BATTLE_END_CC_DEFEAT_2,이번에는 졌지만 아직 끝나지 않았어요!
TID_BATTLE_END_CC_DRAW_DESC,다시 플레이해 승리하세요!
TID_BATTLE_END_CC_QUALIFY_LABEL,진출 자격 획득!
TID_BATTLE_END_CC_QUALIFY_INFO,브롤스타즈 챔피언십 다음 스테이지 진출을 축하합니다!\n수신함에서 더 자세한 정보를 확인해 보세요.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,파워 플레이 리그 보상
TID_PRO_LEAGUE_INFO_POPUP_INFO,최종 포인트에\n따른 보상
TID_PRO_LEAGUE_INFO_POPUP_RANK,순위
TID_PRO_LEAGUE_INFO_POPUP_POINTS,포인트
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,글로벌 순위표\n상위권 추가 보상
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,파워 플레이 리그 종료 보상
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,리그 순위표
TID_PRO_LEAGUE_SEASON_END_TIME,리그 종료까지
TID_PRO_LEAGUE_POPUP_TITLE,파워 플레이
TID_EVENT_LABEL_PRO_LEAGUE,파워 플레이
TID_PRO_LEAGUE_POPUP_INFO,파워 플레이에서 자신의 실력을 시험하세요! 3번의 일일 매치에서 경쟁해 리그 순위표 상위권에 이름을 올리세요. 리그 종료 후 획득한 포인트와 글로벌 리그 순위표의 순위에 따라 스타 포인트를 받을 수 있습니다.
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,현재 리그
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,이전 리그
TID_PRO_LEAGUE_LABEL,파워 플레이
TID_TEAM_ERROR_38,파워 레벨 10 브롤러를 선택하세요!
TID_TEAM_ERROR_39,파워 플레이 일일 참가 한도를 초과했습니다.
TID_PRO_LEAGUE_GAMES,남은 전투: <GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,파워 플레이 리그 종료
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,내 포인트
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,내 순위
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,스타 포인트 보상
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,파워 플레이 보상: <cff00ff>스타 포인트</c> <AMOUNT>점 획득!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,압도적 승리 (+3 포인트):
TID_OVERWHELMING_VICTORY_GMV_0,15번째 보석이 나타나기 전에 승리
TID_OVERWHELMING_VICTORY_GMV_5,2:0 승리
TID_OVERWHELMING_VICTORY_GMV_2,내 금고에 HP가 60% 이상 남은 상태로 승리
TID_OVERWHELMING_VICTORY_GMV_11,내 기지에 HP가 80% 이상 남은 상태로 승리
TID_OVERWHELMING_VICTORY_GMV_3,상대보다 최소 10개 이상의 별을 더 획득해 승리
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,매치 순위에 따라 포인트 획득
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"승리: 30 포인트, 무승부: 15 포인트, 패배: 5 포인트"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,포인트
TID_DOUBLE_TOKEN_WEEKEND,토큰 두 배 이벤트
TID_COIN_SHOWER_EVENT,코인 샤워 이벤트
TID_RANKS_ADDED_TITLE,신규 브롤러 랭크
TID_RANKS_ADDED_DESC,모든 브롤러에 21~35 랭크가 추가되었습니다.\n\n새 랭크를 달성한 브롤러 보상으로 <cff00ff><STARPOINTS></c> 스타 포인트와 토큰 <TOKENS>개를 받았습니다.
TID_SKINS_TITLE,스킨
TID_SKINS_BUTTON_LABEL,스킨
TID_SKIN_PREVIEW,스킨 미리보기
TID_DEFAULT_SKIN,<HERO> 기본 스킨
TID_HERO_LVL_UP_MATERIAL,코인
TID_TOKENS,토큰
TID_FIRST_WINS,스타 토큰
TID_CLUB_COINS,클럽 코인
TID_BUTTON_INBOX,수신함
TID_INBOX_TITLE,수신함
TID_INBOX_SYSTEM_SENDER,시스템
TID_INBOX_SUPPORT_SENDER,브롤스타즈 지원팀
TID_INBOX_BRAWLSTARS_SENDER,브롤스타즈
TID_INBOX_AGE,<TIME> 전
TID_INBOX_CLAIM,받기
TID_INBOX_VIEW,보기
TID_INBOX_TAB_0,클럽 메일
TID_INBOX_TAB_1,개인 메일
TID_INBOX_NO_ENTRIES,메일이 없습니다.
TID_INBOX_CAPTION_99,트로피 리그가 종료되었습니다.
TID_INBOX_CAPTION_94,스킨 선물: <NAME>
TID_INBOX_CAPTION_93,브롤러 선물: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,브롤러 선물: <NAME> (파워 레벨 <LEVEL>)
TID_INBOX_CAPTION_92,선물: <NAME> PP x <AMOUNT>
TID_INBOX_CAPTION_91,선물: 티켓 x <AMOUNT>
TID_INBOX_CAPTION_90,선물: <NAME> x <AMOUNT>
TID_INBOX_CAPTION_89,선물: 보석 x <AMOUNT>
TID_INBOX_CAPTION_88,선물: 토큰 더블러 x <AMOUNT>
TID_INBOX_CAPTION_85,보석 x <AMOUNT> 회수
TID_INBOX_CAPTION_84_4,선물: <NAME> 스타 파워 (<ABI>)
TID_INBOX_CAPTION_84_5,선물: <NAME> 가젯 (<ABI>)
TID_INBOX_CAPTION_78,브롤러 랭크 21~30 추가!
TID_INBOX_CAPTION_76,온라인 예선전 잠금 해제!
TID_INBOX_CAPTION_75,<CHALLENGE> 승리 보상:\n<NAME>
TID_INBOX_CAPTION_74,티켓 보상
TID_INBOX_CAPTION_73,선물: 브롤 패스
TID_INBOX_CAPTION_72_52,선물: 핀
TID_INBOX_CAPTION_71,선물: 토큰 <AMOUNT>개 - 브롤 패스 시즌 <SEASON>
TID_INBOX_CAPTION_70,<CHALLENGE> 완료 보상:
TID_INBOX_CAPTION_64,선물: <NAME> x <AMOUNT>
TID_INBOX_CAPTION_DONATION,선물: <TEXT>
TID_INBOX_NEW,NEW!
TID_BAND_MAIL_POPUP_TITLE,클럽 메일
TID_BAND_MAIL_POPUP_DEFAULT_TXT,이곳에 메시지를 입력하세요.
TID_BAND_MAIL_POPUP_POST,보내기
TID_BAND_MAIL_POPUP_NO_MSG,메시지를 입력하세요!
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,해당 기능은 데모 계정에서 이용이 불가능합니다.
TID_REVOKE_TITLE,지원팀에서 보낸 메시지
TID_REVOKE_OK,확인
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,참가 요청 실패: 이미 다른 팀에 참가했습니다.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,참가 요청 실패: 보류 중인 팀 초대가 있습니다.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,참가 요청 실패: 보류 중인 팀 참가 요청이 있습니다.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,팀 참가 요청 취소
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,팀에 참가하고 싶어요!
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>승리</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>패배</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>무승부</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00><RANK>위</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000><RANK>위</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc><RANK>위</c>
TID_BATTLE_LOG_AGE,<TIME> 전
TID_BATTLE_LOG_HERO_LEVEL_LABEL,Lv
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,전투 기록
TID_BATTLE_LOG_REPLAY,리플레이
TID_BATTLE_LOG_MVP,스타 플레이어
TID_BATTLE_LOG_FRIENDLY,친선전
TID_BATTLE_LOG_TOURNAMENT,토너먼트
TID_BATTLE_LOG_PVP,경쟁전
TID_BATTLE_LOG_PRO_LEAGUE,파워 플레이
TID_BATTLE_LOG_RANKED,파워 리그
TID_BATTLE_LOG_NO_ENTRIES,전투 기록이 없습니다.
TID_BATTLE_LOG_THIS_IS_A_BOT,AI 브롤러입니다.
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,리플레이 불가
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,리플레이 없음
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,리플레이 없음 (브롤러 트로피가 너무 낮음)
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,브롤러 트로피 <NUM>개에 도달해 리플레이를 잠금 해제하세요!
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,리플레이 없음 (기록 실패)
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,리플레이 만료
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,친구를 추가하지 못했습니다!
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,친구 링크가 만료되었습니다!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,친구를 추가할 수 없습니다. 해당 친구의 친구 목록이 가득 찼습니다!
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,친구를 추가할 수 없습니다. 내 친구 목록이 가득 찼습니다!
TID_ADD_FRIEND_FAILED_BANNED,친구를 추가할 수 없습니다. 사용자가 차단되었습니다!
TID_KEYPOOL_KEYS_REMAINING,남은 토큰: <VALUE>
TID_KEYPOOL_NEXT_PATCH,<TIME> 후 토큰 +<KEYS>개
TID_TOP_HUD_NEXT_REWARD,다음 보상
TID_RANK_UP_REWARD_REPLACED_TITLE,대신 아래 보상이 지급됩니다.
TID_RANK_UP_REWARD_REPLACED_POWER,<AMOUNT> PP를 받을 수 있는 브롤러가 없습니다.\n\n대체 보상이 지급됩니다.
TID_RANK_UP_REWARD_REPLACED_HERO,해당 브롤러(<NAME>)를 보유하여 대체 보상이 지급됩니다.
TID_RANK_UP_REWARD_REPLACED_PIN,해당 핀을 보유하여 대체 보상이 지급됩니다.
TID_RANK_UP_REWARD_REPLACED_SKIN,해당 스킨(<NAME>)을 보유하여 대체 보상이 지급됩니다.
TID_RANK_UP_REWARD_REPLACED_GEN,해당 보상을 보유하여 대체 보상이 지급됩니다.
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"<AMOUNT> PP를 받을 수 있는 브롤러가 없고, PP 한도에 도달하셨습니다.\n\n대체 보상이 지급됩니다."
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,친구 요청 전송
TID_PLAYER_INFO_REMOVE_FRIEND,친구 목록에서 삭제
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,친구 요청 전송 완료
TID_PLAYER_INFO_IS_YOUR_FRIEND,게임 친구
TID_POWER_POINTS,PP
TID_HERO_INFO_LEVEL,POWER
TID_HERO_INFO_LEVEL_LONG,파워 레벨
TID_HERO_INFO_RANK,RANK
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,다음 파워 레벨: <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,확인하려면 다시 탭하세요!
TID_HERO_INFO_MAX_LEVEL,최대 파워 레벨
TID_HERO_INFO_MORE_POWER_NEEDED,더 많은 PP를 모아 업그레이드하세요!
TID_HERO_INFO_LEVEL_UP_ERROR_4,PP가 부족합니다!
TID_HERO_INFO_LEVEL_UP_ERROR_3,코인이 부족합니다!
TID_HERO_INFO_LEVEL_UP_ERROR_5,브롤러가 이미 최대 파워 레벨입니다!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,기본 브롤러
TID_HERO_INFO_STAR_POWER_EQUIP,선택
TID_HERO_INFO_STAR_POWER_EQUIPPED,선택함
TID_PLAYER_REPORTED_SUCCESSFULLY,플레이어 신고 완료!
TID_TOO_MANY_REPORTS_SENT,일일 신고 횟수 제한을 초과했습니다!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,신고 접수가 다시 가능해질 때까지 기다려 주세요!
TID_CHOOSE_CHARACTER,브롤러 선택
TID_ARMOR,HP
TID_ARMOR_DESC,브롤러가 처치되기 전까지 버틸 수 있는 피해량을 나타냅니다.
TID_SHOTGUN_GIRL,쉘리
TID_SHOTGUN_GIRL_DESC,넓게 퍼지는 산탄으로 적을 날려버립니다. 특수 공격으로 지형물을 파괴하고 적이 가까이 오지 못하도록 밀어낼 수 있습니다!
TID_LONG_RANGE_SHOTGUN,산탄총
TID_LONG_RANGE_SHOTGUN_DESC,부채꼴로 산탄을 쏴 중거리까지 피해를 줍니다. 적이 산탄에 많이 맞을수록 더 큰 피해를 줍니다.
TID_MEGA_BLASH_ULTI,슈퍼 쉘
TID_MEGA_BLASH_ULTI_DESC,쉘리의 슈퍼 쉘은 적을 지형물과 함께 깔끔히 날려버립니다. 살아남은 적은 뒤로 밀려납니다.
TID_GUNSLINGER,콜트
TID_GUNSLINGER_DESC,가끔 중요한 순간에 엉뚱한 곳에서 출현하는 조금은 어설픈 영웅입니다. 취미가 거울 보기라던데... 자신감 하나는 기막히네요!
TID_RAPID_FIRE,6연발 리볼버
TID_RAPID_FIRE_DESC,일직선으로 6발을 연속으로 발사합니다.
TID_RAPID_FIRE_ULTI,불렛 스톰
TID_RAPID_FIRE_ULTI_DESC,더 먼 거리까지 대량의 탄환을 발사해 피해를 주고 지형물을 파괴합니다.
TID_BULL_DUDE,불
TID_BULL_DUDE_DESC,산탄총으로 근거리 대상에게 엄청난 피해를 줍니다. 특수 공격으로 장애물을 뚫고 빠르게 돌진해 적을 뒤로 밀어버립니다!
TID_SHOTGUN_BLAST,더블 배럴
TID_SHOTGUN_BLAST_DESC,"불의 이중총열 산탄총은 큰 피해를 줄 수 있지만, 사거리가 짧아 적 가까이 다가가야 합니다."
TID_CHARGE,불도저
TID_CHARGE_DESC,불도저처럼 빠르게 돌진해 적과 지형물을 밀어버립니다. 장애물 뒤에 숨어도 안전하지 않습니다!
TID_ROCKET_GIRL,브록
TID_ROCKET_GIRL_DESC,로켓포로 전투에 열기를 더합니다. 전투가 없을 땐 유연한 몸놀림을 자랑하는 춤꾼으로 변신해 무대를 뒤집어 놓곤 하죠.
TID_FIREWORKS_WEAPON,락 앤 로켓
TID_FIREWORKS_WEAPON_DESC,아주 먼 거리까지 날아가는 단발식 로켓포를 발사합니다.
TID_FIREWORKS_ULTI,로켓 레인
TID_FIREWORKS_ULTI_DESC,적과 지형물을 제거하는 로켓을 퍼부어 집중포화에 허우적대는 상대의 모습을 보며 뿌듯해 합니다.
TID_TNT_DUDE,다이너마이크
TID_TNT_DUDE_DESC,깊숙한 광산 속으로 자취를 감췄던 다이너마이크가 돌아왔습니다. 그동안 참아왔던 폭발 본능을 깨워낼 참입니다!
TID_MORTAR,다이너마이트 투척
TID_MORTAR_DESC,경로상의 모든 지형물을 무시하며 날아가는 다이너마이트 두 개를 투척합니다. 참을성 없는 다이너마이크는 도화선도 짧게 잘라놨습니다!
TID_MORTAR_ULTI,빅 배럴 붐
TID_MORTAR_ULTI_DESC,다이너마이트로 가득 찬 통을 던져 폭발시킵니다. 폭발의 영향에 살아남은 적은 뒤로 밀려납니다!
TID_LUCHADOR,엘 프리모
TID_LUCHADOR_DESC,적에게 분노의 주먹을 날립니다. 특수 공격으로 높이 점프한 뒤 엘보 드롭으로 범위 안에 있는 적에게 피해를 줍니다!
TID_LUCHADOR_WEAPON,분노의 주먹
TID_LUCHADOR_WEAPON_DESC,분노로 불타오르는 주먹을 4번 연속 날립니다. 매운 주먹맛 좀 보실래요?
TID_LUCHADOR_ULTI,플라잉 엘보 드롭
TID_LUCHADOR_ULTI_DESC,높이 점프한 뒤 팔꿈치로 적을 때려눕히고 지형물을 파괴합니다!
TID_TRICKSHOT_DUDE_OLD,리코셰
TID_TRICKSHOT_DUDE_DESC,벽에 튕겨 나오는 탄환을 연발합니다. 특수 공격으로 적을 관통하고 사거리가 긴 탄환을 발사합니다!
TID_TRICKSHOT_DUDE_WEAPON,통통탄
TID_TRICKSHOT_DUDE_WEAPON_DESC,벽에 맞고 튕겨 나온 탄환이 더 먼 거리까지 공격합니다. 지형물 뒤도 안전하진 않습니다!
TID_TRICKSHOT_DUDE_ULTI,트릭샷
TID_TRICKSHOT_DUDE_ULTI_DESC,적을 관통하는 사거리가 긴 탄환을 연발합니다. 벽에 튕겨 나온 탄환은 더 먼 거리까지 공격합니다.
TID_CACTUS,스파이크
TID_CACTUS_DESC,"가시를 사방으로 날리는 가시 수류탄을 투척하고, 특수 공격으로 선인장 가시밭을 만들어 적을 느리게 만들고 피해를 줍니다!"
TID_CACTUS_WEAPON,가시 수류탄
TID_CACTUS_WEAPON_DESC,폭발할 때 사방으로 가시가 튀어나오는 작은 선인장을 투척합니다.
TID_CACTUS_ULTI,선인장 파티
TID_CACTUS_ULTI_DESC,스파이크가 던진 가시 수류탄이 터지면서 폭발 범위 안의 적에게 피해를 주고 느리게 만듭니다.
TID_BARKEEP,발리
TID_BARKEEP_DESC,"스타 파크에서 가장 맛 좋은 음료를 찾고 있다면 발리를 찾으세요. 단, 발리의 바를 어지럽히지 않도록 조심해야 합니다. 어딘가에서 병이 날아올지도 몰라요!"
TID_BARKEEP_WEAPON,병 투척
TID_BARKEEP_WEAPON_DESC,"발리가 던진 병이 깨지면서 적에게 피해를 주고, 쏟아져 나온 내용물 위에 서 있는 적에게 지속 피해를 줍니다."
TID_BARKEEP_ULTI,라스트 콜
TID_BARKEEP_ULTI_DESC,병을 던져 넓은 지역을 불바다로 만듭니다. 발리의 특별 서비스입니다!
TID_MECHANIC,제시
TID_MECHANIC_DESC,적에게 에너지 볼을 발사합니다. 특수 공격으로 귀엽지만 치명적인 터렛을 설치합니다!
TID_MECHANIC_WEAPON,쇼크 라이플
TID_MECHANIC_WEAPON_DESC,"적을 맞히면 범위 내 다른 적에게 튕겨 나가 피해를 주는 에너지 볼을 발사합니다. 에너지 볼은 최대 3명에게 피해를 주며, 튕길 때마다 피해량이 <damageDecayChain>씩 감소합니다."
TID_MECHANIC_ULTI,터렛 설치
TID_MECHANIC_ULTI_DESC,자동으로 적을 공격하는 터렛을 설치합니다. 100% 재활용 고철로 만들어졌습니다!
TID_SHAMAN,니타
TID_SHAMAN_DESC,충격파를 쏴서 적에게 피해를 줍니다. 특수 공격으로 거대한 곰을 소환해 함께 싸웁니다!
TID_SHAMAN_WEAPON,포효
TID_SHAMAN_WEAPON_DESC,전방으로 충격파를 쏴 범위 안에 있는 적에게 피해를 줍니다.
TID_SHAMAN_ULTI,곰 소환
TID_SHAMAN_ULTI_DESC,커다란 아기 곰을 소환해 적을 사냥합니다.
TID_UNDERTAKER,모티스
